run_label,dataset_id,task_id,seed,budget,coverage_target,frontier_set_size_llm_prompt_policy_frontier,frontier_set_size_reference,point_risk_llm_prompt_policy_frontier,point_risk_reference,task,risk_gap_llm_minus_reference,set_size_gap_llm_minus_reference
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,1,60,0.8,1.525,2.0,0.3237704918032786,0.4163934426229508,ACS,-0.0926229508196722,-0.4750000000000001
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,1,60,0.9,1.912295081967213,1.4827868852459016,0.4774590163934425,0.3086065573770492,ACS,0.16885245901639334,0.42950819672131146
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,1,120,0.8,1.500420168067227,1.1953781512605042,0.3836134453781512,0.2949579831932772,ACS,0.08865546218487397,0.3050420168067227
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,1,120,0.9,1.600840336134454,1.4714285714285715,0.3836134453781512,0.2899159663865546,ACS,0.09369747899159658,0.12941176470588256
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,1,240,0.8,1.4964601769911503,1.0606194690265487,0.386283185840708,0.2517699115044247,ACS,0.1345132743362833,0.4358407079646016
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,1,240,0.9,1.522566371681416,1.2898230088495577,0.3256637168141593,0.2553097345132743,ACS,0.07035398230088497,0.23274336283185826
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,1,480,0.8,1.499009900990099,0.9995049504950496,0.3866336633663366,0.2292079207920792,ACS,0.1574257425742574,0.4995049504950494
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,1,480,0.9,1.603960396039604,1.24009900990099,0.3866336633663366,0.2336633663366336,ACS,0.152970297029703,0.36386138613861396
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,1,960,0.8,1.5038961038961038,1.0227272727272727,0.3850649350649351,0.2194805194805195,ACS,0.1655844155844156,0.48116883116883113
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,1,960,0.9,1.6253246753246753,1.259090909090909,0.325974025974026,0.2194805194805195,ACS,0.10649350649350653,0.36623376623376624
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,2,60,0.8,1.5004098360655738,1.5241803278688524,0.3852459016393442,0.2795081967213114,ACS,0.1057377049180328,-0.023770491803278615
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,2,60,0.9,1.9114754098360656,1.7397540983606556,0.4762295081967213,0.2700819672131147,ACS,0.20614754098360655,0.17172131147540992
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,2,120,0.8,1.5008403361344538,1.173109243697479,0.3840336134453781,0.2680672268907563,ACS,0.11596638655462183,0.32773109243697474
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,2,120,0.9,1.5987394957983194,1.4588235294117646,0.3840336134453781,0.2680672268907563,ACS,0.11596638655462183,0.1399159663865548
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,2,240,0.8,1.5039823008849558,1.1154867256637169,0.386283185840708,0.2442477876106195,ACS,0.14203539823008848,0.3884955752212389
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,2,240,0.9,1.752212389380531,1.343362831858407,0.4756637168141593,0.2442477876106195,ACS,0.23141592920353982,0.40884955752212404
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,2,480,0.9,1.5277227722772275,1.2084158415841584,0.3292079207920791,0.2267326732673267,ACS,0.1024752475247524,0.31930693069306915
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,2,960,0.8,1.483116883116883,0.9818181818181818,0.3837662337662337,0.2136363636363636,ACS,0.1701298701298701,0.5012987012987012
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,2,960,0.9,1.5214285714285714,1.2045454545454546,0.3305194805194805,0.2136363636363636,ACS,0.1168831168831169,0.31688311688311677
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,3,60,0.8,1.5012295081967213,1.178688524590164,0.3860655737704918,0.2454918032786884,ACS,0.1405737704918034,0.32254098360655736
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,3,60,0.9,1.9114754098360656,1.3676229508196722,0.4762295081967213,0.2622950819672131,ACS,0.2139344262295082,0.5438524590163933
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,3,120,0.8,1.5016806722689076,1.2210084033613446,0.3869747899159663,0.257563025210084,ACS,0.12941176470588228,0.2806722689075629
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,3,120,0.9,1.5995798319327732,1.3714285714285714,0.3869747899159663,0.257563025210084,ACS,0.12941176470588228,0.22815126050420176
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,3,240,0.8,1.497787610619469,1.134070796460177,0.386283185840708,0.2805309734513274,ACS,0.1057522123893806,0.3637168141592919
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,3,240,0.9,1.5256637168141594,1.4061946902654867,0.3238938053097345,0.2628318584070797,ACS,0.06106194690265482,0.11946902654867264
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,3,480,0.8,1.4975247524752475,1.047029702970297,0.3900990099009901,0.250990099009901,ACS,0.13910891089108912,0.45049504950495045
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,3,480,0.9,1.5237623762376238,1.29009900990099,0.3267326732673267,0.250990099009901,ACS,0.0757425742574257,0.23366336633663387
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,3,960,0.8,1.5006493506493506,1.0097402597402598,0.387012987012987,0.2285714285714285,ACS,0.15844155844155847,0.49090909090909074
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,3,960,0.9,1.6207792207792209,1.2415584415584415,0.3337662337662337,0.2285714285714285,ACS,0.1051948051948052,0.37922077922077935
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,4,60,0.8,1.4995901639344262,2.0,0.3881147540983606,0.4155737704918033,ACS,-0.02745901639344267,-0.5004098360655738
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,4,60,0.9,1.751639344262295,1.396311475409836,0.4770491803278688,0.2922131147540984,ACS,0.18483606557377041,0.35532786885245904
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,4,120,0.8,1.5008403361344538,1.2441176470588236,0.388235294117647,0.2886554621848739,ACS,0.09957983193277309,0.25672268907563023
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,4,120,0.9,1.751260504201681,1.357983193277311,0.4773109243697478,0.2676470588235294,ACS,0.2096638655462184,0.3932773109243699
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,4,240,0.8,1.5008849557522124,1.095132743362832,0.3889380530973451,0.2544247787610619,ACS,0.13451327433628318,0.4057522123893804
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,4,240,0.9,1.525221238938053,1.415486725663717,0.3283185840707965,0.2256637168141593,ACS,0.1026548672566372,0.10973451327433614
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,4,480,0.8,1.499009900990099,1.137128712871287,0.3846534653465346,0.2247524752475247,ACS,0.1599009900990099,0.361881188118812
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,4,480,0.9,1.616831683168317,1.3722772277227724,0.3232673267326732,0.245049504950495,ACS,0.07821782178217823,0.24455445544554455
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,4,960,0.8,1.5012987012987014,1.0006493506493506,0.3837662337662337,0.2253246753246753,ACS,0.1584415584415584,0.5006493506493508
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,4,960,0.9,1.6064935064935064,1.2123376623376625,0.3850649350649351,0.2233766233766233,ACS,0.1616883116883118,0.3941558441558439
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,5,60,0.8,1.4991803278688525,1.1327868852459015,0.3860655737704918,0.2778688524590164,ACS,0.1081967213114754,0.3663934426229509
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,5,60,0.9,1.524590163934426,1.4131147540983606,0.3249999999999999,0.2983606557377048,ACS,0.026639344262295084,0.1114754098360653
minimax_acs_schema_budgetgrid,real_acs_income_folktables,acs_income_above_50k,5,120,0.8,1.4991596638655462,1.153361344537815,0.3869747899159663,0.2743697478991597,ACS,0.1126050420168066,0.3457983193277312
