experiment_id,dataset_id,task_id,seed,budget,coverage_target,prompt_search_family,risk_frontier_method,risk_frontier_value
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.8,component_grid,cached_llm_promptopt_anes_component_grid_rank1_grid_calibrated_classifier_conflict_check_avoid_defaults_prob_sum,0.0642857142857142
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.8,fixed_only,cached_llm_anes_calibrated_persona,0.0714285714285714
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.8,oprolite_minimax,cached_llm_anes_calibrated_persona,0.0714285714285714
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.8,seed_selection,cached_llm_anes_calibrated_persona,0.0714285714285714
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.9,component_grid,cached_llm_promptopt_anes_component_grid_rank1_grid_calibrated_classifier_conflict_check_avoid_defaults_prob_sum,0.0642857142857142
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.9,fixed_only,cached_llm_anes_calibrated_persona,0.0714285714285714
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.9,oprolite_minimax,cached_llm_anes_calibrated_persona,0.0714285714285714
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.9,seed_selection,cached_llm_anes_calibrated_persona,0.0714285714285714
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.8,component_grid,cached_llm_anes_original_persona,0.0699999999999999
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.8,fixed_only,cached_llm_anes_original_persona,0.0699999999999999
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.8,oprolite_minimax,cached_llm_anes_original_persona,0.0699999999999999
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.8,seed_selection,cached_llm_anes_original_persona,0.0699999999999999
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.9,component_grid,cached_llm_anes_original_persona,0.0699999999999999
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.9,fixed_only,cached_llm_anes_original_persona,0.0699999999999999
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.9,oprolite_minimax,cached_llm_anes_original_persona,0.0699999999999999
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.9,seed_selection,cached_llm_anes_original_persona,0.0699999999999999
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.8,component_grid,cached_llm_anes_calibrated_persona,0.0642857142857142
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.8,fixed_only,cached_llm_anes_calibrated_persona,0.0642857142857142
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.8,oprolite_minimax,cached_llm_anes_calibrated_persona,0.0642857142857142
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.8,seed_selection,cached_llm_anes_calibrated_persona,0.0642857142857142
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.9,component_grid,cached_llm_anes_calibrated_persona,0.0642857142857142
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.9,fixed_only,cached_llm_anes_calibrated_persona,0.0642857142857142
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.9,oprolite_minimax,cached_llm_anes_calibrated_persona,0.0642857142857142
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.9,seed_selection,cached_llm_anes_calibrated_persona,0.0642857142857142
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,80,0.8,component_grid,cached_llm_promptopt_anes_component_grid_rank2_grid_calibrated_classifier_conflict_check_sharp_clear_json_only,0.0699999999999999
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,80,0.8,fixed_only,cached_llm_anes_calibrated_persona,0.0799999999999999
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,80,0.8,oprolite_minimax,cached_llm_promptopt_anes_oprolite_minimax_rank2_gen1_demographics_weighted,0.0699999999999999
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,80,0.8,seed_selection,cached_llm_anes_calibrated_persona,0.0799999999999999
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,80,0.9,component_grid,cached_llm_promptopt_anes_component_grid_rank2_grid_calibrated_classifier_conflict_check_sharp_clear_json_only,0.0699999999999999
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,80,0.9,fixed_only,cached_llm_anes_calibrated_persona,0.0799999999999999
